ID	Value
TMED1	மலைய\JJ நத்தம்\N_NNP ஓர்\JJ அழகிய\JJ சிற்றூர்\N_NN .\RD_PUNC இயற்கை\N_NN வளம்\N_NN செறிந்தது\V_VM_VF .\RD_PUNC அவ்வூரில்\N_NN சொக்கநாதர்\N_NNP என்ற\CC_CCS_UT புலவர்\N_NN இருந்தார்\V_VM .\RD_PUNC அவர்\PR_PRP பல\QT_QTF நற்குணங்களை\N_NN உடையவர்\V_VM_VF
TMED10	உடனே\PR_PRP புலி\N_NN ,\RD_PUNC ``\RD_PUNC ``\RD_PUNC செய்நன்றி\N_NN கொன்றவனுக்கு\V_VM_VNF மன்னிப்பே\N_NN கிடையாது\V_VM_VF ,\RD_PUNC என்னை\PR_PRP நம்புங்கள்\V_VM_VF .\RD_PUNC நான்\PR_PRP சத்தியமாக\RB உங்களுக்கு\PR_PRP எவ்வித\JJ தீங்கும்\N_NN செய்யமாட்டேன்\V_VM_VF .\RD_PUNC
TMED100	கிரேக்க\JJ நாட்டுப்\N_NN பெண்களிலேயே\N_NN பேரழகியாகப்\RB போற்றப்படுபவள்\N_NNV இளவரசியான\JJ அட்லாண்டா\N_NNP என்பவள்\V_VM_VF .\RD_PUNC
TMED1000	ஏன்\N_NNP இப்போதும்\N_NST கூட\PSP !\RD_PUNC அவரைப்\PR_PRP போன்று\PSP ஒரு\JJ அறிவியல்\N_NN சம்பந்தப்பட்ட\JJ கதைகள்\N_NN யாராலும்\PR_PRQ எழுத\V_VM_VINF முடியுமா\V_VAUX ?\RD_PUNC இலக்கியம்\N_NN என்று\CC_CCS_UT எதைச்\PR_PRP சொல்கின்றார்\V_VM_VF ?\RD_PUNC
TMED101	கிரேக்கப்\N_NNP புராணங்களின்படி\N_NN அவள்\PR_PRP பெரும்\JJ ஆற்றல்\N_NN பெற்றிருந்தாள்\V_VM_VNF எனக்\CC_CCS_UT கூறப்படுகிறது\V_VM_VF .\RD_PUNC இவளது\PR_PRP தந்தை\N_NN தனக்கு\PR_PRP ஆண்\N_NN மகன்\N_NN பிறக்க\V_VM_VINF வேண்டுமென\V_VM_VNF மிகுந்த\JJ ஆசையோடிருந்தான்\V_VM .\RD_PUNC
TMED102	தந்தைக்கு\N_NN ஏமாற்றத்தைத்\N_NN தந்து\V_VM_VNF பெண்ணாகப்\RB பிறந்த\JJ அட்லாண்டா\N_NNP ,\RD_PUNC பிறந்ததும்\V_VM_VNF மலையிலே\N_NN கொண்டு\PSP சென்று\V_VM_VNF விடப்பட்டாள்\V_VM_VF .\RD_PUNC
TMED103	அங்கே\N_NST அவள்\PR_PRP பெண்\N_NN கரடி\N_NN ஒன்றால்\QT_QTO வளர்க்கப்\V_VM_VINF பெற்றாள்\V_VM_VF .\RD_PUNC காட்டிற்கு\N_NN வேட்டையாட\V_VM_VINF வந்த\V_VM_VNF சிலர்\QT_QTF குழந்தையைக்\N_NN கண்டு\V_VM_VNF ,\RD_PUNC தங்கள்\PR_PRP வீட்டிற்கு\N_NN எடுத்துச்\V_VM_VNF சென்றனர்\V_VM_VF .\RD_PUNC
TMED104	அட்லாண்டா\N_NNP பெரியவளாக\RB வளர்ந்தபின்\V_VM_VNF ,\RD_PUNC தனது\PR_PRP தந்தையின்\N_NN அவைக்களத்தை\N_NN அடைந்தாள்\V_VM_VF .\RD_PUNC அரசனுக்கு\N_NN வேறு\JJ சந்ததி\N_NN எதுவும்\PR_PRQ இல்லாமையால்\V_VM_VNF மீண்டும்\RB ஏற்றுக்\V_VM_VNF கொண்டதுடன்\V_VM_VNF திருமணத்திற்கும்\N_NN ஏற்பாடு\N_NN செய்தான்\V_VM_VF .\RD_PUNC
TMED105	அழகில்\N_NN சிறந்து\V_VM_VNF விளங்கிய\V_VM_VINF அட்லாண்டாவை\N_NNP மணக்கப்\V_VM_VINF பல\QT_QTF இளைஞர்கள்\N_NN போட்டி\N_NN போட்டுக்\V_VM_VNF கொண்டு\PSP முன்\PSP வந்தனர்\V_VM_VF .\RD_PUNC
TMED106	ஆனால்\CC_CCS ,\RD_PUNC அட்லாண்டா\N_NNP தன்னை\PR_PRP ஓட்டப்\N_NN பந்தயத்தில்\N_NN வெல்பவனையே\N_NNV திருமணம்\N_NN செய்து\V_VM_VNF கொள்வதாக\RB அறிவித்தாள்\V_VM_VF .\RD_PUNC
TMED107	அந்தப்\DM_DMD போட்டியில்\N_NN கலந்து\V_VM_VNF கொண்டு\PSP தோல்வியடைவோர்\N_NN தங்கள்\PR_PRP உயிரையும்\N_NN இழக்க\V_VM_VINF வேண்டும்\V_VM_VNF எனவும்\CC_CCS_UT நிபந்தனை\N_NN விதித்தாள்\V_VM_VF .\RD_PUNC
TMED108	அவளது\PR_PRP அழகில்\N_NN மனதைப்\N_NN பறி\N_NN கொடுத்த\JJ இளைஞர்\N_NN பலர்\QT_QTF ஓட்டப்\N_NN பந்தயத்தில்\N_NN கலந்துக்கொள்ள\V_VM_VNF முன்\PSP வந்து\V_VM_VNF தோல்வி\N_NN கண்டு\V_VM_VNF உயிரையும்\N_NN இழந்தனர்\V_VM_VF .\RD_PUNC
TMED109	கடைசியாக\RB வீனஸ்\N_NN என்ற\CC_CCS_UT பெண்\N_NN தெய்வத்தின்\N_NN அருள்\N_NN பெற்ற\JJ ஒருவன்\QT_QTO அட்லாண்டாவுடன்\N_NNP ஓட்டப்\N_NN பந்தயத்தில்\N_NN கலந்து\V_VM_VNF கொள்வதாக\RB அறிவித்தான்\V_VM_VF
TMED11	என்னை\PR_PRF விடுவித்து\V_VM_VNF விட்டால்\V_VM_VNF ,\RD_PUNC நான்\PR_PRP காட்டில்\N_NN ஓடிப்\V_VM_VNF போய்\V_VM_VNF விடுவேன்\V_VAUX .\RD_PUNC தயவு\N_NN செய்து\V_VM_VNF என்\PR_PRP மீது\PSP இரக்கம்\N_NN காட்டு\V_VM_VF `\RD_PUNC `\RD_PUNC என்றது\N_NN .\RD_PUNC
TMED110	போட்டியும்\N_NN தொடங்கியது\V_VM_VF .\RD_PUNC அட்லாண்டாவும்\N_NNP அந்த\DM_DMD இளைஞனும்\N_NN ஓடத்\V_VM_VINF தொடங்கினர்\V_VM_VF .\RD_PUNC வழக்கம்\N_NN போலவே\PSP அட்லாண்டா\N_NNP முன்னே\N_NST ஓடிக்\V_VM_VNF கொண்டிருந்தாள்\V_VAUX .\RD_PUNC
